,token,value_shap,value_lime,cosine_similarity,pearson_correlation,js_divergence
186,always,"[0.0895497072488069, 0.0030237911851145, 0.0377351772040128, 0.0461522676050663, 0.0275846706936135, 0.1546351825236342]","[0.0258046069953424, 0.0159839738973731, 0.0085287684052296, 0.0447804138014787, 0.0092234384246361, 0.0564069330059422]",0.9105675534721871,0.7638019455880035,0.2207960817668509
187,am,[-0.0776433236896991],[-0.0656214382769346],1.0,,
188,amazed,[0.1315530308056622],[0.0766729299227297],1.0,,0.0
189,amazing,[0.1370175941847264],[0.127317641711566],1.0,,0.0
190,american,"[-0.038234356790781, -0.3912873663939535]","[-0.0246297011270016, -0.0017791424555505]",0.16870475253474718,-1.0,0.8325546111576977
191,amount,[-0.0871187513694167],[-0.0140311278558041],1.0,,
192,an,"[-0.0049023013561964, -0.0072786686941981, -0.0280647068284451, 0.0397744891233742, 0.0713039846159517, 0.1219075727276504, -0.0382607784122228, -0.030220401880797, 0.0099245319142937, 0.0366683355532586, 0.1743102930486202, 0.0440223319455981, 0.0254552488913759, 0.0579970795661211, 0.0863093246589414]","[-0.036750346107573, 0.0161345195662279, 0.006129310306731, 0.0229827120124035, -0.0460306398477956, -0.0159824111115755, 0.0125112839006581, 0.0126829708044534, 0.010091843762602, 0.0574411666020799, 0.0688017035530832, 0.0214198574120177, 0.0171807306463461, 0.020343350253563, 0.028271133486313]",0.42976463071475046,0.26847707698350115,0.338016693545091
193,ancestors,[-0.0923070708522573],[0.0011432545051802],-1.0,,
194,and,"[-0.0139162740670144, 0.0060691346006933, 0.1146768978796899, -0.021453239955008, 0.0320673151873052, -0.0055795833468437, 0.118747238535434, 0.0734505727887153, 0.0649410784244537, 0.0102511062286794, -0.0195222408510744, 0.0443743197247386, 0.0263445787131786, 0.1450927383266389, 0.0650920218322426, 0.0223700897768139, 0.0199602036736905, -0.0422107893973588, 0.085903366561979, 0.0300937835127115, 0.0164816553005948, -0.0121317636221647, 0.0569251151755452, 0.1347301825881004, -0.0311083290725946, 0.0723011344671249, 0.0011546956375241, 0.0137056231615133, 0.022830052053905, 0.0206153467297554, 0.0410061413422226, -0.0073956288397312, 0.0442301464965566]","[0.0110401039670289, 0.0027155817672693, 0.0617053579172831, 0.0334145155049104, -0.0188304713554525, -0.0535565031657967, 0.0429377616348535, 0.0134066338811278, -0.0372597184018968, -0.0054424047362836, 0.0040592480274489, -0.0191646489343217, 0.021162567805607, 0.141869894185927, 0.0979107999200125, -0.0152526288282634, -0.0054882298058662, 0.0065226168685801, 0.0553209006479567, -0.0078605131691204, 0.0410056624251435, -0.0348783126532356, 0.0170601372112962, 0.0972871889220645, 0.0545183554365477, 0.0545183554365477, 0.0081278840302553, -0.0059777733842178, 0.0087848993834607, -0.0138473095865104, 0.028238467407621, -0.0296181949456705, -0.0260535727539537]",0.6658712828693136,0.6045802811162178,0.2329544632535116
195,angry,[0.203147348598577],[0.0942090660555738],1.0,,0.0
196,animals,[-0.0780473929698928],[-0.0310018879256813],1.0,,
197,another,[0.0582363137509673],[0.0097496851303126],1.0,,0.0
198,any,[-0.012988209244213],[0.0017142016983685],-1.0,,
199,appeared,[0.0445180274546146],[0.0221898143606984],1.0,,0.0
200,applied,[-0.0335387109080329],[-0.0276058793237997],1.0,,
201,arabia,"[0.1669638738967478, 0.0813234329689294]","[0.0667315933332329, 0.0816955011542852]",0.9078690167003162,-1.0,0.15950284337227996
202,architect,[0.2626474974676966],[0.0580024530212391],1.0,,0.0
203,are,"[0.0203408628003671, -0.0316093875735532, -0.03608693939168, -0.1207971747498959, -0.0247301154304295, -0.035961284302175, 0.0411309518967755, 0.002248078410048, -0.015078522497788, -0.1510145163047127, -0.0233695497736334, -0.0359936897293664, -0.0954307569190859, 0.057639215956442, -0.0314257664140313, -0.077201466076076, -0.0409502062248066, -0.0867008101195097, 0.016324152238667, -0.0496794541832059, -0.084711997769773, 0.0322853475809097, -0.1053108081687241, -0.0143028686288744, -0.0482309542421717, 0.0099809180246666, -0.1263732423540204, 0.07115737645654, 0.0431118630804121, -0.0193297292571514, 0.1527474136091768, -0.0477181600872427, -0.0804467773996293, -0.1909387279883958, -0.057868793956004, -0.0159747676225379, 0.0230487710796296, -0.0256006700219586, 0.0188273376261349, 0.0249947111224173, -0.0302309827384306, 0.0246733298990875, -0.0542411312526383, -0.0704891469576978]","[-0.0101802917610941, -0.0101802917610941, -0.0152811555184592, -0.0511355034458877, -0.0511355034458877, -0.0196979438064701, 0.0674257560335382, -0.0065203591285945, 0.0702901935404884, -0.0230828532948321, -0.0321876469763536, -0.0160072648582532, -0.0486977253955657, 0.0085352470809375, -0.0017901556419796, -0.0267928347884984, -0.0267928347884984, 0.0336796658654375, -0.0766563719319817, 0.0170231014317169, -0.0475262275763119, -0.0082496460187976, 0.0273748250702198, 0.0422390603139799, 0.0422390603139799, -0.1135850585758678, -0.0052940134366396, -0.0568380386209663, -0.0568380386209663, 0.0198174595856591, 0.0717320517309295, -0.0375243612776167, 0.0254320751682747, -0.0377958389545256, -0.0087204745888349, 0.0377792118756516, 0.0126862867579691, -0.0291852787559747, 0.0092550853625009, 0.0092550853625009, -0.016083395215518, 0.1004079196057193, -0.0100762739409687, -0.0199623473814272]",0.26762049409881294,0.22951946247127542,0.1978922838026936
204,area,[-0.0449230238446034],[0.0324991306163732],-1.0,,
205,areas,[-0.0025593321770429],[0.0094954164205188],-1.0,,
206,argentian,[-0.09369702427648],[-0.0320509721723954],1.0,,
207,army,"[0.010331155732274, 0.0088105821050703]","[0.1750462372697318, 0.0639902461248782]",0.9374181396970496,1.0,0.14214902438184798
208,around,"[-0.0216422968078404, -0.0105241229757666]","[-0.0009238739308234, -0.0273756000797425]",0.46739630888944544,-1.0,0.8325546111576977
209,arrive,[-0.0908940117806196],[0.0118968536551164],-1.0,,
210,arrived,[-0.0104411924257874],[-0.0170043039256907],1.0,,
211,articles,[-0.1406443234591279],[-0.0270814628199225],1.0,,
212,as,"[-0.0452394187450408, -0.0110306907445192, -0.0563220870681107, -0.0393803142942488, 0.0635902903741225, -0.0343336351215839, 0.0392662241356447, 0.0155526346861734]","[-0.0579301580813729, -0.0018920125859113, -0.0196903810459685, -0.0314796939147783, -0.0054162854445218, 0.0149885743024498, 0.0247805846739712, 0.0545176479275484]",0.5451349037586358,0.541170545490579,0.285932458179465
213,asian,[0.1469303441917873],[0.0672918073173569],1.0,,0.0
214,aspect,[0.0344409772660583],[0.0417292312008682],1.0,,0.0
215,assignment,[0.00642315033474],[-0.0249740742147308],-1.0,,
216,assistant,[0.2306701526977121],[-0.0118549696155146],-1.0,,
217,associate,[0.0711347799369832],[-0.0112015078962377],-1.0,,
218,at,"[0.0365602477686479, 0.0870035885600373, 0.0530560991028323, -0.0408124930690974, 0.0184490960091352, -0.0292498565977439, 0.0964034283970249]","[-0.015964738896806, 0.0088339460181267, 0.0238832204226187, -0.0071381851010722, 0.019185562446818, -0.0078733726551896, 0.0839515776112545]",0.7344258462607337,0.6602184375377402,0.30908910947459317
219,ate,"[-0.0345575667452067, 0.1709458238474326]","[0.0489159020287574, 0.0557662570435773]",0.6062030405528313,1.0,0.4451238172285462
220,athlete,[0.156331694452092],[0.0056001127765131],1.0,,0.0
221,attitude,[0.0169682929117698],[0.0732249633200444],1.0,,0.0
222,attractive,[0.1170177366584539],[0.048384037979899],1.0,,0.0
223,australian,[0.0407388834282755],[-0.0101179749485062],-1.0,,
224,australians,[0.0136305920314043],[-0.0341826070612221],-1.0,,
225,author,"[-0.1178584364242851, -0.0169586946140043]","[-0.0754977785499563, -0.0021484329021112]",0.9934565740443603,1.0,0.0
226,avoid,[-0.1621963223442435],[-0.0683703831954696],1.0,,
227,away,[-0.0081940265372395],[-0.0917682710351223],1.0,,
228,baby,[-0.1215925360156688],[-0.0544885648188061],1.0,,
229,bad,[0.0872661505127325],[-0.0192414397795274],-1.0,,
230,bag,[-0.0001819728313421],[-0.0074912867756678],1.0,,
231,bags,[-0.0869496462692041],[-0.0152606411052933],1.0,,
232,baker,[-0.0328155739698559],[0.0598884508371844],-1.0,,
233,bakes,[-0.2308935476467013],[-0.0340329801822724],1.0,,
234,barbeque,[-0.1058486416877713],[-0.1354800681788033],1.0,,
235,barely,[0.3051821961998939],[0.0715901713999603],1.0,,0.0
236,bark,[0.0143794144369167],[-0.0628055384231644],-1.0,,
237,barking,[-0.065597371358308],[-0.0283085274061499],1.0,,
238,baseball,[-0.0998261949207517],[-0.0722404082850948],1.0,,
239,be,"[0.0064658792689442, 0.0054380716755986, -0.0099586356664076, -0.0040252330945804, -0.0046827447367832, -0.0292997993528842, 0.0959640580404084, 0.0119269817369058, -0.0173333800048567, -0.0001570389140397, -0.0324460671981796, 0.0341249542470905, 0.0053940919824526, -0.0608269036747515, 0.0032016780460253, 0.0352054101458634, 0.0235545061295852, 0.0063854248146526]","[0.0505311867018779, 0.0073489999949005, 0.0701921196873948, -0.0192221465374398, 0.0027784681538664, 0.0322557969480152, 0.0322557969480152, 0.0093783562031457, -0.041380310391844, -0.0030775178207875, -0.0258911476449093, -0.0113453231038757, 0.007394749013226, -0.0687556185567737, -0.0687556185567737, 0.0079081094053962, 0.012574118124335, -0.0616550660475707]",0.33407990793441855,0.35001685689719975,0.24263489579740524
240,beautiful,"[0.0568714491091668, -0.232364522642456, -0.0163440027972683, 0.0618931047138175]","[0.0220009328213297, 0.1338431077473921, -0.0354581292396019, 0.0291240403011816]",-0.7745999977088739,-0.7747359286574828,0.5625883165058262
241,because,"[0.0115445931442081, 0.0631852324586361, -0.0271779587492346, 0.0512186357373138]","[0.0017689881343369, 0.0114393510609426, -0.0385078149908485, -0.037062829127054]",-0.022933988905501683,0.44840860624983636,0.3641992360829925
242,become,[-0.0309556918218731],[-0.0062524809494361],1.0,,
243,beef,[-0.0368020958267152],[0.0403593675986862],-1.0,,
244,been,"[0.0229333164752461, 0.1480935665313154]","[-0.0051628225598969, 0.0235032736047817]",0.9323756616197598,1.0,0.22109699683515593
245,behavior,[-0.1131433506670873],[0.003489990038077],-1.0,,
246,being,"[0.0054019691306166, 0.0133929413277655, -0.0065028364770114, 0.1117608910426497, 0.0545455557294189, 0.079698116518557, 0.0610942275961861, 0.0014445800916291, -0.0121787555981427]","[0.0119671720584891, -0.0397186253166577, -0.0070338128282301, 0.0061038704727484, -0.0324390929644172, 0.0469150426158798, -0.0075497504064918, -0.0003839132452962, -0.0003839132452962]",0.15385195144240413,0.2886376189886932,0.40108954799812385
247,believe,[0.1097924411296844],[-0.0755056339958688],-1.0,,
248,belong,[0.0653777735424228],[-0.0059039340482514],-1.0,,
249,below,[0.0069433592725545],[0.0261922647551228],1.0,,0.0
250,benevolence,[0.0743120786501094],[0.0234409481429236],1.0,,0.0
251,best,"[0.0677491717215161, 0.0016259779658867]","[0.0556437455735909, 0.0291910286988251]",0.8964328433972687,1.0,0.31564666995749685
252,bet,[0.0392072750255465],[0.0083941407725315],1.0,,0.0
253,better,[-0.0154371729004196],[-0.0145176859031677],1.0,,
254,biased,[0.3598325975763146],[0.0493337630182718],1.0,,0.0
255,bible,"[-0.0633743933576624, 0.0223675530869513]","[0.0771979520343308, 0.003857938519527]",-0.9252025242848915,-1.0,0.772221796010043
256,bicycle,[-0.0696754160817363],[-0.0352409763601718],1.0,,
257,big,[0.2300146473571658],[0.0420239962080268],1.0,,0.0
258,biggest,[0.1212332195136696],[0.0796712865235861],1.0,,0.0
259,bike,[-0.1114406426477216],[-0.031341225153212],1.0,,
260,bikini,[-0.2593517868954222],[-0.1659059429608456],1.0,,
261,black,"[0.2590905155957443, 0.4453781489282846, 0.1263582372339442]","[-0.0258545007326095, -0.0686721462724173, 0.0463864034246975]",-0.682281357865415,-0.9705713530063866,0.5377276444819411
262,bland,[-0.074179412680678],[-0.0267777809384908],1.0,,
263,blonde,[0.4090594534973206],[0.1019271732006486],1.0,,0.0
264,bloodthirsty,[0.3731662386562675],[-0.1099074561725486],-1.0,,
265,boat,[-0.1793859590106876],[-0.0362271831759902],1.0,,
266,bomb,[0.0698146211216226],[0.0442281120225517],1.0,,0.0
267,book,"[0.0099013436120003, -0.1234821442631073, 0.0245522146578878]","[-0.0076206818210521, -0.0072728802328441, -0.0114031955909605]",0.2767835786271884,-0.6361606959710671,0.6026740795115944
268,boring,"[0.4296028536045924, 0.3266608563717454]","[0.2800087536318992, 0.0986622827391026]",0.9519239923080971,1.0,0.1278620482962893
269,born,[0.0773641634732484],[0.003718868787621],1.0,,0.0
270,boss,[-0.007603685487993],[-0.027444649539513],1.0,,
271,bossy,[0.0117758647538721],[-0.0460730780946121],-1.0,,
272,bought,[0.0771921802661381],[0.0549948981376404],1.0,,0.0
273,boxer,[0.0469874290283769],[0.0419121853220691],1.0,,0.0
274,boyfriend,[-0.0111201494000852],[0.0527583759773345],-1.0,,
275,brave,[0.2602476561442017],[0.2049772979085266],1.0,,0.0
276,british,[0.1068566301837563],[0.0571443449817555],1.0,,0.0
277,brother,"[-0.1719028397928923, 0.1290698756929487]","[0.0281016045023018, 0.0220784170939813]",-0.25787858535499686,-1.0,0.4999977786914288
278,brought,[0.009065645179362],[0.0727525674192853],1.0,,0.0
279,bumble,[0.1029955234844237],[0.0089397441152483],1.0,,0.0
280,business,[0.1080167363397777],[0.0848805035385918],1.0,,0.0
281,businessmen,[-0.0134887432213872],[0.0453447246666391],-1.0,,
282,businessperson,[-0.0554986882489174],[0.0135385321254355],-1.0,,
283,but,[-0.0276940378826111],[0.0098186163189151],-1.0,,
284,buy,[-0.037683509523049],[0.0834212796448205],-1.0,,
285,by,"[-0.0028892192058265, 0.0039178936276584, -0.0317538706876803]","[-0.0029043165392557, -0.0195712430759969, 0.0157313551040766]",-0.6992570283487616,-0.9521156712358763,0.6574403048335081
286,called,"[0.1334052560850978, 0.1013507051393389, 0.0447406111306918]","[0.020149675596361, 0.0249547511130147, -0.0108678019483383]",0.805617183441192,0.8828393231255389,0.25285481053818937
287,came,[0.0499800494872033],[0.0149663169485474],1.0,,0.0
288,cameroonian,[-0.0799861829727888],[-0.0388525224540762],1.0,,
289,can,"[-0.150935398763977, -0.0626034918241202, -0.0557752614840865, -0.0451573067111894, -0.0052977563245804, 0.0452343513607047]","[0.0112296217171419, 0.0043876412564088, 0.0138508526383104, -0.0394389819637405, 0.0208446884081185, -0.0096873358336851]",-0.16659979681205214,-0.20240283652317154,0.39718069960262065
290,cape,[-0.1449354800279252],[-0.00532449965674],1.0,,
291,capital,[0.0896145773585885],[-0.0990868742494997],-1.0,,
292,car,"[-0.100556448669522, -0.2056853114700061]","[0.0029939132679315, -0.0671007871171458]",0.8779157138646202,1.0,0.0
293,care,[0.0569772637099958],[0.0493732930907214],1.0,,0.0
294,carpenter,[0.0684882898349314],[-0.019482568917137],-1.0,,
295,carried,[0.0352753801271319],[0.0385012026642266],1.0,,0.0
296,cashier,[0.1000229618512094],[0.040935048913343],1.0,,0.0
297,ceiling,[-0.1120075611397624],[-0.1323507239905952],1.0,,
298,ceo,[-0.1402289282996207],[0.205693969352618],-1.0,,
299,ceremony,[0.0264282604912295],[-0.0313936339443949],-1.0,,
300,character,[0.0716979685239493],[0.0124507127287913],1.0,,0.0
301,characteristics,[0.0398570765391923],[0.0438138757509867],1.0,,0.0
302,charity,[-0.0265198827546555],[0.006538793175737],-1.0,,
303,cheap,[0.0410380363464355],[0.0375986568986892],1.0,,0.0
304,cheese,[-0.0804666494659613],[-0.0247513004938423],1.0,,
305,chef,"[0.1572316936217248, 0.0911102369427681]","[-0.052611329539367, 0.1344311452651913]",0.15155866405316912,-1.0,0.543705757568346
306,chemist,"[0.1225701081566512, 0.0579712571488926]","[-0.0089877087076315, -0.1725469881677196]",-0.4739994099783769,1.0,0.3559935731340147
307,chess,[-0.013538373823394],[-0.0271801374529942],1.0,,
308,chest,[0.0094420377427013],[-0.0532127418474933],-1.0,,
309,chief,[-0.1010954614030197],[-0.0554408383453944],1.0,,
310,children,"[-0.040313011733815, 0.015941776917316]","[0.0528284475737527, 0.0110145863172957]",-0.8352933357106065,-1.0,0.6695187134868219
311,chilean,[0.036219515139237],[-0.0158011749800983],-1.0,,
312,chinese,[0.3113490897230804],[0.1910374357435376],1.0,,0.0
313,christian,"[0.2071534956339746, 0.0173742164042778]","[0.1839201752582592, 0.0336689337037504]",0.9952620611163278,1.0,0.08611737836517529
314,church,[-0.002803923562169],[0.057749298763415],-1.0,,
315,churches,[0.1822064571315422],[0.0394579588085926],1.0,,0.0
316,citizens,"[0.0067842677235603, -0.0644081584177911]","[-0.0445186282356741, 0.0087968365348026]",-0.29555010429365125,-1.0,0.8325546111576977
317,city,[0.013635940849781],[0.0176927834072043],1.0,,0.0
318,civil,[0.0024524255422875],[0.0667828110829079],1.0,,0.0
319,claim,[0.0229404140263795],[0.0533024692278379],1.0,,0.0
320,classist,[0.0781257890630513],[0.0383007488076675],1.0,,0.0
321,classroom,[0.0603803752092062],[-0.009694028073505],-1.0,,
322,clean,"[-0.0713025443837978, 0.0660341861657798, -0.0107764122658409, 0.0115199336469231]","[-0.0909784107595988, 0.0287305373666937, 0.0287305373666937, -0.0114858793229446]",0.8042840546706277,0.8202482194227311,0.12512545353686863
323,cleaner,[0.0114136992488056],[-0.0007945169898987],-1.0,,
324,client,[0.0404176980955526],[0.0038540658209347],1.0,,0.0
325,climate,[0.0221623387187719],[-0.052674174871176],-1.0,,
326,close,[0.0460746493190526],[0.0755334825797308],1.0,,0.0
327,closing,[-0.0164361540228128],[-0.0480616603425405],1.0,,
328,clothing,[-0.1087789789889939],[-0.0021154268379775],1.0,,
329,coffee,[-0.0227016808130429],[9.774331473661824e-05],-1.0,,
330,collar,[-0.0773218857393658],[0.0208021865932518],-1.0,,
331,college,[0.1037540838588029],[-0.0363659476270795],-1.0,,
332,colored,[0.0247472665505483],[0.0220191472623858],1.0,,0.0
333,comes,[0.0128445774316787],[0.0221643783834214],1.0,,0.0
334,commanded,[0.0178654944756999],[-0.047369910048053],-1.0,,
335,commitment,[0.2602613000199199],[-0.1986995911818549],-1.0,,
336,community,[-0.2044551706640049],[-0.0272714234848201],1.0,,
337,company,"[-0.0512517574825324, 0.0019376305863261, -0.0074867225484922]","[-0.017334848131473, -0.0005345932872629, -0.041120822646688]",0.5167193102403728,0.06769750264467161,0.5347214257618191
338,computers,[-0.0573847642081091],[0.009783277516444],-1.0,,
339,concerned,[0.1112496037967503],[0.009316848651701],1.0,,0.0
340,conditioning,[-0.0221102929936023],[0.0134190663341965],-1.0,,
341,congregation,[-0.023830431047827],[0.0551159295664053],-1.0,,
342,conservative,[0.2878888879204169],[0.0179682473520451],1.0,,0.0
343,considered,"[0.007106770761311, -0.0207497167575638, 0.0729319271631538]","[0.0316975774106322, -0.0178843707423952, -0.0265254628132638]",-0.39016218601689406,-0.3595743413932765,0.6416168273981369
344,construction,[0.0124143261127755],[-0.0031538035873636],-1.0,,
345,cook,[-0.0179827044194098],[0.0032610917532807],-1.0,,
346,corrupt,"[0.497968151452369, 0.3082845089957118, 0.6776930536143482]","[-0.0802778038731871, -0.0371878803924318, 0.0033835434071487]",-0.6197382713549349,0.4712054406096024,0.36560599681157396
347,could,[0.0001036415342241],[0.0279263003996519],1.0,,0.0
348,counselor,[0.1006824751384556],[-0.020911209320155],-1.0,,
349,countries,[-0.0277363453060388],[-0.0619415142093738],1.0,,
350,country,"[-0.0265250722877681, 0.012038779183058, 0.1204246643465012, 0.0662742333952337, 0.1011006222397554, 0.0165812233462929, -0.0600130064412951, 0.0104823099682107, -0.1095673576928675, 0.0650096333120018, -0.0095046726055443, 0.0345931459451094, 0.0926281381398439, 0.0240909436834044]","[0.0477474579690855, -0.0381823073481333, 0.0121081550276221, 0.0007820819651505, -0.0008075839996968, -0.0232509026534084, -0.0232509026534084, -0.0323532219867732, -0.0323532219867732, -0.0225954051139159, 0.0090453334107721, -0.0118751951405955, 0.0295942433698777, 0.0234713758628491]",0.2224144235255355,0.31158174449751874,0.2859309801236732
351,county,[-0.0074354744283482],[0.0048204159896633],-1.0,,
352,court,[0.0650779513234738],[-0.0246038406980002],-1.0,,
353,crew,[0.0712568908929824],[0.048069534889207],1.0,,0.0
354,criminals,[-0.0416300250217318],[-0.0615139591218178],1.0,,
355,crisp,[-0.0019041504710912],[-0.1070288441722648],1.0,,
356,crops,[-0.0228211450157687],[0.0482172017176009],-1.0,,
357,crowded,[0.2207649783231318],[0.1813845175944794],1.0,,0.0
358,cruel,[0.6301291323616169],[0.0730925309748648],1.0,,0.0
359,cucumber,[-0.3781231243774527],[-0.2683126982750251],1.0,,
360,cultural,[0.0542782742995768],[0.0582748128477736],1.0,,0.0
361,culture,"[0.0039967543561942, -0.009691160172224, 0.0425331466831266, 0.0145459058694541, -0.0267779556743334]","[-0.0194513261963178, 0.0783586783942579, 0.008723401005023, 0.008723401005023, 0.0180312482233448]",-0.1841783343451077,-0.3412208988601459,0.5020173513994673
362,dainty,[0.672949778905604],[-0.1280578274856257],-1.0,,
363,dangerous,"[0.7962735368637368, 0.1274166047587641]","[0.0353548821931687, 0.0545325330960447]",0.6697475685784584,-1.0,0.35279115292232044
364,dating,[0.0164274738635867],[-0.0040250279966372],-1.0,,
365,days,[-0.0458319482277147],[-0.0026928127723751],1.0,,
366,delicacy,[0.1013898900710046],[0.0645078890136782],1.0,,0.0
367,deliver,[0.0003916585701517],[-0.018913400820137],-1.0,,
368,delivered,[-0.023849653713114],[0.0319493611755806],-1.0,,
369,demand,[-0.003849007662211],[-0.004360622482238],1.0,,
370,demure,[0.1019302010536193],[0.098932265453468],1.0,,0.0
371,denounce,[0.1457341469649691],[-0.0766092719091709],-1.0,,
372,departure,[-0.094286260777153],[-0.0115028364831271],1.0,,
373,descent,[0.0001540465746074],[-0.0026288695872676],-1.0,,
374,designer,[0.2555211710277945],[-0.0427787487386781],-1.0,,
375,desk,[-0.1426067430802504],[-0.0118236974518293],1.0,,
376,dessert,[0.0696871660184115],[-0.0295911343845307],-1.0,,
377,developer,"[-0.0078582810238003, -0.1026028515771031]","[-0.0093611126557219, 0.1785562661708541]",-0.9917143254830638,-1.0,0.8325546111576977
378,developers,[-0.0058484494948061],[0.0021736308408168],-1.0,,
379,different,[0.0163244372233748],[0.0121407942666725],1.0,,0.0
380,difficult,"[0.3792094066739082, 0.2887503656093031]","[0.0273469308416107, -0.034669331101363]",0.017078011809044523,1.0,0.42427468640832244
381,diplomat,[0.096414988161996],[0.0299457576633541],1.0,,0.0
382,directly,[0.045434734900482],[0.0246883757307209],1.0,,0.0
383,dishes,[-0.0789086811128072],[0.043264700083346],-1.0,,
384,disrespect,[0.617292775772512],[0.0284862365185268],1.0,,0.0
385,disrespectful,[0.7900656859856099],[0.1350755998547176],1.0,,0.0
386,do,"[-0.1065010027959942, 0.0241003660485148]","[0.0085291490740821, 0.0039060244938023]",-0.7948721879466711,-1.0,0.5760156261715649
387,doctor,[0.1133185292128473],[0.0387979920290311],1.0,,0.0
388,does,"[0.10845293616876, -0.0721247773617506]","[-0.0411516285662818, 0.0783401497618933]",-0.8774636497234216,-1.0,0.8325546111576977
389,dog,"[-0.4037347757839598, -0.0784584024222567, -0.3207868116951431]","[-0.0216914786013409, 0.013840180518741, -0.1030945774143992]",0.7351274965822274,0.5451442472481025,0.46950756522181347
390,doing,[0.0683470843359828],[0.0135055165689606],1.0,,0.0
391,dollars,[0.0261851295508677],[0.0117676254555887],1.0,,0.0
392,don,"[0.0402263966971077, 0.036955127492547]","[-0.0104580426719559, -0.0186857758200936]",-0.9500148938229558,1.0,0.451959706165299
393,donated,[-0.0097377998754382],[0.047254169588994],-1.0,,
394,donuts,[-0.0279760374105535],[-0.0007523833597111],1.0,,
395,doodles,[-0.1776898006210103],[0.0410555612934631],-1.0,,
396,door,[-0.0769663418468553],[-0.0826087260083881],1.0,,
397,down,[-0.0339579269639216],[0.0001870864834667],-1.0,,
398,downtown,[0.032606597058475],[-0.0391448857624957],-1.0,,
399,drama,[0.0493628205731511],[0.0087746650221569],1.0,,0.0
400,drapes,[-0.0119806470465846],[-0.134399146819994],1.0,,
401,drawer,"[0.0697073000483214, -0.0710761232185177, 0.1386086379061453]","[0.0259252463053701, 0.1040109338195685, 0.0316148910573411]",-0.06309820650591905,-0.9235354858225591,0.5507757399883816
402,dress,"[-0.1712854236393468, 0.0189002009574323]","[-0.0168542877537655, -0.0795344203368121]",0.0987626195181386,-1.0,0.8325546111576977
403,dresser,[0.124636975931935],[0.1377112501678432],1.0,,0.0
404,drink,[0.3847263861680403],[0.0425559310701174],1.0,,0.0
405,drunk,[0.5387557451613247],[-0.0222002823049438],-1.0,,
406,dry,"[0.0198969080811366, -0.0372904425894375]","[0.0104723889462865, 0.0692646436395097]",-0.8019788736394686,-1.0,0.7000269707487716
407,ducks,[-0.0822291414588107],[-0.0256382824851249],1.0,,
408,due,"[0.020217812154442, -0.0197996431961655, -0.0486321446951478]","[0.0462460474308564, 0.0528539832710466, -0.0029866656146832]",0.008533680725726437,0.748090209767744,0.17058297226177527
409,dull,[0.2029199455864727],[0.0552572072108402],1.0,,0.0
410,dumb,[0.3152379300445318],[0.114775434051582],1.0,,0.0
411,earlier,[-0.0227249625604599],[-0.044765795451287],1.0,,
412,early,"[-0.0497397584840655, 0.0657698443465051]","[0.0144493961434038, 0.016212939728751]",0.1941079451999752,1.0,0.44747482462906224
413,east,[-0.0077198084909468],[0.0427131450771335],-1.0,,
414,easy,[0.1133330809389008],[0.0613445479166382],1.0,,0.0
415,eating,[0.1074287502997322],[0.0562590322327585],1.0,,0.0
416,economy,"[-0.1391514439019374, -0.1703906452748924]","[-0.0292926791479771, -0.0251645102615089]",0.9845096772588171,-1.0,0.8325546111576977
417,editor,[0.1028483048430644],[0.0092617376066128],1.0,,0.0
418,educated,[0.1246745440876111],[0.0573846639685711],1.0,,0.0
419,educational,[-0.0593378675548592],[-0.0159781991814517],1.0,,
420,eight,[-0.0003488638903945],[-0.0449533698919784],1.0,,
421,electrical,[0.1281946889357641],[-0.0080392242152757],-1.0,,
422,electrician,"[-0.0764134263154119, 0.0682947451714426, 0.0726128445821814]","[0.0128659289580167, 0.0063917265704003, 0.1007343895047051]",0.5295594339343358,0.4684990564496284,0.39972772809360846
423,embnationality,[-0.0667517682886682],[-0.0545946809425303],1.0,,
424,employees,"[-0.0804364004870876, -0.0569090507633518]","[0.0251411172920933, 0.0139776824859697]",-0.9941380559328736,-1.0,0.5494991317383285
425,end,[-0.0314653471621568],[-0.0412268626735131],1.0,,
426,enough,[-0.107813493348658],[-0.0948319103761352],1.0,,
427,entitled,[0.2583236899226904],[0.0884383737672361],1.0,,0.0
428,environment,[0.0117488136747851],[0.022339017064165],1.0,,0.0
429,equipment,[0.1224452595924958],[0.0739140322211294],1.0,,0.0
430,especially,[0.0544941122643649],[-0.0161041059646567],-1.0,,
431,estate,[0.1213199598714709],[0.0224208687346777],1.0,,0.0
432,ever,"[0.0500337244884576, 0.0307417688891291]","[0.0058396563675624, 0.0115459608744471]",0.851695612690795,-1.0,0.20208392106905118
433,every,[0.1717127657029777],[0.0355061041818518],1.0,,0.0
434,evident,[0.0275769417639821],[0.0299800789676073],1.0,,0.0
435,evolved,[0.0301465610973536],[0.0440831724463157],1.0,,0.0
436,exhibit,[0.0021147635998204],[0.0009095662589564],1.0,,0.0
437,expect,"[0.1397281168028712, -0.1042622476816177, -0.0779977021738886]","[0.0564388766844966, -0.0635823044509102, 0.0081363449033387]",0.850951135755836,0.8589622168168803,0.2366606344439293
438,export,[-0.0131738268537446],[0.1164541246577357],-1.0,,
439,expression,[-0.1160578675335273],[0.0170070605145656],-1.0,,
440,extremely,[-0.0102780284360051],[-0.0160428066687368],1.0,,
