,token,value_shap,value_lime,cosine_similarity,pearson_correlation,js_divergence
155,Venezuelan,[0.0115099330432713],[-0.057012766828908],-1.0,,
156,Vietnam,[0.1432212201179936],[0.1145073364656607],1.0,,0.0
157,Whales,[-0.1479070213063096],[-0.0376746578908729],1.0,,
158,When,"[0.016911405720748, 0.0308270326349884, -0.0216914808697765]","[-0.0242656439924595, -0.001836135538734, -0.0045117188026609]",-0.3609799798797692,-0.15496283088172672,0.5563890085269496
159,Working,[0.1543260193429887],[0.0019414070883875],1.0,,0.0
160,Yemeni,[0.0747628417375381],[-0.0256874221538678],-1.0,,
161,You,"[0.0153390234336256, -0.000713288784027]","[0.0249462811054683, 0.0199339343417756]",0.7513806701729283,1.0,0.4313679249833442
162,a,"[0.0282383433077484, 0.0093856041785329, -0.0085649087559431, 0.0176153683569282, 0.0796072578523308, -0.0349283914547413, 0.014000994618982, 0.0745135308243334, -0.0047079217620193, 0.0737576662213541, 0.0144857559353113, 0.0097567901830188, 0.071565453254152, 0.0425039925612509, 0.0338598608650499, 0.0782949032727629, 0.0308415730833075, -0.0386786784511059, -0.042764613230247, -0.0091286816168576, 0.0521952761919237, 0.0935566375264898, -0.0077764274319633, 0.1445170254155527, -0.061588843120262, 0.2003751024603843, -0.0161304795765317, 0.0843534146551974, 0.0400651841191574, -0.0405648106243461, -0.0238967612385749, 0.0401246885303407, 0.1242379051400348, 0.1507376527879387, 0.0424686761616612, -0.0278558767167851, 0.0437153739621862, 0.0162144359201192, 0.0167876370251178, 0.0416913312838005, -0.0023429748835042, -0.0007980745285749, 0.0484851318178698, 0.1121070354711264, -0.033455180353485, -0.0839873274089768, 0.0208792020566761, 0.0264017152949236, 0.0751439281739294, 0.0288854067912325, -0.0541089847683906, 0.0757633646717295, 0.0142370398389175, -0.0340659744106233, 0.0578936925157904, 0.03676517913118, -0.0312700787035282, 0.031740028905915, 0.0808452655910514, 0.011869717069203, -0.0128775682533159, -0.006476777496573, -0.0009316540963482, -0.0039002611883915, -0.0041587022133171, 0.082137438823338, -0.0091881203552475, 0.0222776733571663, 0.0859289839863777, 0.1281316471286118, -0.0054027581354603, 0.199180131778121, -0.0827472442761063, -0.0659361532889306, -0.0396040708292275, 0.0676620258018374, -0.0235737262119073, 0.142970122902625, 0.004896149970591]","[-0.0246487801711647, -0.0192768221532046, 0.0174068297956797, 0.0174068297956797, 0.0050428311116293, 0.0290070714129602, -0.0009573463733246, 0.0088947941199875, 0.0435293905090438, 0.0082138061060738, -0.0218032470784798, -0.0218032470784798, 0.0409767869248656, 0.0409767869248656, 0.0079685806498326, -0.0030345142403393, 0.0489740551506791, 0.0207754954378745, -0.0043573059989437, 0.0024717105753458, 0.0589553576482244, -0.0299916937852383, -0.0035403565754047, -0.009578069970372, 0.0162598285492945, 0.0162598285492945, 0.0331049810898893, 0.0331049810898893, 0.0046041507948489, -0.0730493457930471, 0.0515311433432632, 0.0204070762322262, -0.0124494440429505, -0.038985910455401, -0.0063051018557602, 0.0342334838818932, 0.0342334838818932, -0.0367373614836255, 0.0127712044390846, 0.0132024650431091, 0.0279574942952302, 0.0017891413099005, 0.065949027757993, 0.0148213863292875, 0.0295541767864353, -0.0057819954644976, -0.0057819954644976, -0.0280898352195787, 0.0114298875535559, -0.0115709687283474, -0.0268664457416302, 0.0791456817957123, -0.0160527888423131, 0.0240645811035763, 0.0240645811035763, -0.012779853989468, -0.0129193749061491, 0.0019786239025443, 0.072421138176285, 0.0021180433394422, 0.0013385160804201, 0.0250847338284683, -0.0154743766760666, -0.0061679212996791, 0.0035400180922705, 0.0035400180922705, 0.008199820278242, -0.0240301729049692, -0.0230695269447797, -0.0057414645871341, 0.0204401725411253, 0.0317410594120742, 0.0145297109794747, 0.0482908903543298, -0.0178831948949114, 0.0268648727508348, -0.0591417518406863, 0.0238710369918294, -0.0332977233293512]",0.18263853802502059,0.08665265872426915,0.22686731865932802
163,about,"[0.0830423748047906, 0.0162862692959606, 0.029702418949455]","[0.0441508821787601, 0.0121104612521145, 0.0040384951369651]",0.9664420049408475,0.927724411905168,0.17153464843892186
164,abrahamic,[0.1016235519200563],[0.0190878999692789],1.0,,0.0
165,academic,[0.2696384226437658],[-0.0817529122769494],-1.0,,
166,accountant,"[0.1379835631232708, 0.3095257892273366]","[0.0272223729466323, 0.0594177602040874]",0.9999473156177324,1.0,0.0044775739383615685
167,acquaintance,[0.023293497506529],[0.0201296226326311],1.0,,0.0
168,act,[-0.0283329214289551],[-0.0064429988192423],1.0,,
169,actor,"[0.0304597322829067, -0.0347081620711833]","[-0.0087433841347989, 0.0979834062382211]",-0.8072605722278,-1.0,0.8325546111576977
170,adventerous,[0.1048394842073321],[0.0876624692655142],1.0,,0.0
171,afghanistan,[0.0951494211331009],[0.0015727171510582],1.0,,0.0
172,africa,"[-0.1115300985984504, 0.1205196814553346]","[-0.0356079585094916, 0.0777382896829942]",0.9501280076468566,1.0,0.0
173,african,[0.0796825459692627],[-0.0131716706093237],-1.0,,
174,africans,[-0.0522027730476111],[-0.0031585845981943],1.0,,
175,after,[0.0391842152457684],[0.0202429348375642],1.0,,0.0
176,agenda,[0.0516250347136519],[-0.0553368385032046],-1.0,,
177,aggressive,"[0.6151426974684, -0.0227606436237692]","[0.038788911064701, 0.1256924873145207]",0.25934671377445173,-1.0,0.6260723826964613
178,agriculture,[0.06688556302106],[-0.0115542247900648],-1.0,,
179,air,[-0.072280703112483],[0.0005555915567984],-1.0,,
180,airplane,[-0.0511022420832887],[-0.0265782853732348],1.0,,
181,albania,[-0.1403829713817685],[-0.0204236848662065],1.0,,
182,all,"[0.0260936685372144, -0.0441568419337272, 0.2185896760784089, 0.0513405102537944, 0.073941154172644, 0.1230431050062179, 0.0772171111311763, 0.1274456889368593, 0.079716227191966, 0.1336516183800995]","[0.0002015230097813, 0.0634527271300055, 0.0139730913668263, 0.0069271765152542, 0.0069271765152542, 0.0325308345095839, 0.0052107246582366, 0.1631215988318437, -0.013988446670924, 0.0459095433087168]",0.4882420527865934,0.09879281626748118,0.39443305248297283
183,allows,[0.0682623563916422],[-0.0078214100789723],-1.0,,
184,almost,"[0.0187824830645695, 0.0615124378600739]","[-0.0028815288907944, 0.0273391800815556]",0.9205288641773574,1.0,0.29805791853809654
185,also,"[0.0417546243406832, -0.0016503649530932]","[0.0163541534459194, 0.0217628978603087]",0.5687095600821687,-1.0,0.5064849671668585
